osage exploration 
apple 
bank of 
amazon.com
at&t 
alphabet 
altria group
delta air 
alcoa corporation
american express 
e. i. 
alibaba group 
abbott laboratories
under armour
applied materials
amgen 
american airlines 
american international 
the allstate 
adobe systems 
alphabet 
accenture plc
abbvie 
arcelormittal
eli lilly 
allergan plc
apache corporation
automatic data 
anadarko petroleum 
akamai technologies
annaly capital 
barrick gold 
activision blizzard
autodesk
archer-daniels-midland company
baumart holdings 
walgreens boots 
arena pharmaceuticals
southwest airlines
acadia pharmaceuticals 
palo alto 
advanced micro 
aetna 
american electric 
alexion pharmaceuticals
calamos asset 
broadcom limited
electronic arts 
deutsche bank 
reynolds american 
agnico eagle 
air products 
ambarella
novartis ag
apollo education 
abercrombie & 
lululemon athletica 
rite aid 
brookside energy 
array biopharma 
agnc investment 
jetblue airways 
agilent technologies
o'reilly automotive
amicus therapeutics
autozone
atmel corporation
autonation
astrazeneca plc
the aes 
agl resources 
anheuser-busch inbev 
armour residential 
becton, dickinson 
ak steel 
alliancebernstein holding 
acorda therapeutics
credit suisse 
aflac incorporated
analog devices
aegerion pharmaceuticals
aci worldwide
ameriprise financial
avon products
td ameritrade 
american eagle 
american water 
novo nordisk 
altera 
alaska air 
plains all 
m2 group 
ares capital 
advance auto 
nordic american 
federal national 
first trust 
apartment investment 
agios pharmaceuticals
ameren corporation
ubs group 
anavex life 
alliance resource 
anthem
agrium 
first majestic 
amtrust financial 
amerisourcebergen corporation
statoil asa
allegheny technologies 
the adt 
avalonbay communities
atwood oceanics
alnylam pharmaceuticals
laboratory corporation 
avery dennison 
yamana gold 
ashland global 
arm holdings 
ariad pharmaceuticals
alpha natural 
apollo investment 
acxiom corporation
achillion pharmaceuticals
aceto corporation
abiomed
abm industries 
virgin america 
atyr pharma
atmos energy 
atlas resource 
aon plc
advaxis
agree realty 
amerigas partners
spirit airlines
aviva plc
akorn
alliance data 
abaxis
acuity brands
allied world 
asml holding 
american tower 
alder biopharmaceuticals
aecom
dreamworks animation 
antares pharma
arrow electronics
apollo commercial 
airgas
antero resources 
applied micro 
amc entertainment 
air lease 
agenus 
aaron's
aqua america
fiat chrysler 
booz allen 
abraxas petroleum 
avnet
albemarle corporation
assurant
science applications 
avis budget 
axiall corporation
anglogold ashanti 
a?ropostale
amphenol corporation
anthera pharmaceuticals
am?rica m�vilb. 
amedica corporation
arlington asset 
the advisory 
western asset 
mustera property 
jack henry 
aerovironment
amkor technology
alon usa 
aluminum corporation 
australian potash 
wells fargo 
bioptix
anacor pharmaceuticals
advanced energy 
alleghany corporation
mtge investment 
century aluminum 
altisource portfolio 
amarin corporation 
ampio pharmaceuticals
amag pharmaceuticals
alkermes plc
affymetrix 
advanced emissions 
arctic cat 
aaon
acceleron pharma 
verisk analytics
voxeljet ag
orbital atk
atlas energy 
preferred apartment 
apollo global 
alaska communications 
alamo group 
a.h. belo 
acacia research 
american capital, 
ritchie bros. 
mid-america apartment 
brookfield asset 
athenahealth
atlantic power 
advanced semiconductor 
arcos dorados 
arista networks
access national 
aar 
astoria financial 
westinghouse air 
reliance steel 
packaging corporation 
cash america 
accelerate diagnostics
av homes
avista corporation
athersys
arrowhead pharmaceuticals
angie's list
affiliated managers 
allison transmission 
align technology
akebia therapeutics
assured guaranty 
aeterna zentaris 
acelrx pharmaceuticals
rockwell automation 
gaming and 
dividend and 
azz 
atricure
arris international 
aramark
a. o. 
amira nature 
american midstream 
amc networks 
alimera sciences
allete
ashford hospitality 
accuride 
abb ltd
pt astra 
spirit aerosystems 
sealed air 
elizabeth arden
pan american 
delphi automotive 
adama technologies 
cbl & 
banco bilbao 
aircastle limited
apogee enterprises
the andersons
american superconductor 
amyris
amedisys
alexander & 
alico
addus homecare 
actua corporation
acasti pharma 
atlas air 
advanced drainage 
penske automotive 
allscripts healthcare 
kulicke and 
ethan allen 
aspen technology
